PDB_File,LigVol,MolWt,MolLogP,TPSA,NumHDonors,NumHAcceptors,NumRotatableBonds,NumAromaticRings,FractionCSP3,NumHeteroatoms,HeavyAtomCount,NumAtoms,MolMR,BertzCT,NumCarbons,Asphericity,Eccentricity,InertialShapeFactor,NPR1,NPR2,PMI1,PMI2,PMI3,RadiusOfGyration,SpherocityIndex
DB01472,170.99200000000005,165.2360000000001,1.5848999999999995,35.25,1,2,6,1,0.4,2,12,27,50.347400000000036,693.7736476083915,10,0.6301170819877602,0.9895849288090369,0.0047883477072941825,0.14395022985050504,0.9262706039827996,193.44263629222115,1244.7373494332219,1343.816098752429,2.901422154024086,0.16752811568447531
DB01473,262.6000000000001,261.365,2.806700000000001,29.54,0,3,6,1,0.5625,3,19,42,75.78100000000005,1247.9719514689286,16,0.16604527052516033,0.8753259342629415,0.0006849701636718141,0.48353335852525076,0.7155213669862179,1044.602239534979,1545.7779886553592,2160.351961488151,3.0146823738430246,0.35740735965542153
DB01474,314.5680000000001,304.47399999999936,4.061100000000005,40.46,2,2,5,0,0.9,2,22,54,88.33360000000005,1668.1609416265514,20,0.5339441705604763,0.9813516370441774,0.001326805748162855,0.19222113429774856,0.9332238211348494,703.3613039640702,3414.7833229773423,3659.125759161169,3.573744457118393,0.3267676942417763
DB01475,342.7120000000001,353.4619999999996,3.2581000000000016,38.77,0,4,8,2,0.4090909090909091,4,26,53,102.17300000000006,1696.7565727031747,22,0.1454576594290263,0.8680421577700757,0.00039901532782109006,0.49649049571353443,0.8357827208953867,2094.613070278177,3526.0320715388307,4218.838202064454,3.7307812407809613,0.47181628866158687
DB01476,278.75200000000007,377.2129999999999,3.0736000000000008,41.57,1,3,1,2,0.23529411764705882,6,23,37,87.47670000000001,1376.2690396049643,17,0.21842024596242732,0.908363789514312,0.0006083182421971819,0.41818085309970715,0.9209724938848023,1513.9649446617714,3334.251342222188,3620.359309709466,3.3504015487248844,0.704830541234068
DB01478,246.31200000000007,247.33800000000016,2.5607000000000006,29.54,0,3,5,1,0.5333333333333333,3,18,39,71.23400000000005,1124.2328859521472,15,0.16350978501351873,0.8772474976588647,0.0007872659413353806,0.48003836081219614,0.7474708813544391,949.4515666288826,1478.397264149255,1977.8660293366293,2.9843363776900595,0.3878596560750724
DB01479,319.6720000000001,306.4899999999993,4.141000000000005,40.46,2,2,5,0,1.0,2,22,56,88.35760000000006,1690.370162487331,20,0.5035297644281488,0.9778681562736455,0.0012653093144245355,0.20922205654753773,0.9399034255693585,742.825026935669,3337.046767135905,3550.414517443052,3.5281518179640488,0.32873448590153215
DB01480,395.2480000000001,423.5529999999996,3.163600000000002,62.160000000000004,2,5,9,1,0.6923076923076923,5,31,64,116.32460000000005,2306.2900008600122,26,0.16340802688396366,0.8563845111954397,0.00023241248139413051,0.5163386185291082,0.6386870480032322,2748.0755085615724,3399.2426118601966,5322.235079742833,3.679631865369797,0.33380945974428256
DB01481,292.2560000000001,288.4309999999994,3.7351000000000028,37.3,1,2,3,0,0.8421052631578947,2,21,49,82.64680000000004,1556.6835950095115,19,0.54669791186599,0.9828379668413609,0.0014651886325981697,0.18447094875654535,0.9062303312864727,618.5076181484461,3038.4749873954643,3352.8727548570187,3.4859292044242154,0.2866845759654558
DB01482,318.4960000000001,341.4149999999997,0.6545000000000005,73.85,1,7,9,3,0.3888888888888889,7,25,48,97.82570000000004,1885.1739597970043,18,0.6889285708991048,0.9930413969250089,0.0010584899799818326,0.11776580145877155,0.9451446661676017,892.9179151831213,7166.228178358507,7582.149521529147,4.786081230710585,0.13801682427105336
DB01483,166.74400000000003,184.19500000000008,0.15880000000000016,75.27,2,3,4,0,0.625,5,13,25,44.69640000000001,570.8302674585516,8,0.08506770658401744,0.805023861460243,0.0017581416485821452,0.5932424314558421,0.8445739667128348,480.3787950725939,683.8948176440275,809.7512409787074,2.3148475342105344,0.5688606041454367
DB01484,216.02400000000006,274.1579999999997,2.356,44.480000000000004,1,3,8,1,0.45454545454545453,4,15,31,64.59940000000003,831.0596083015806,11,0.37711860882298953,0.9582592059965717,0.0010499735433142684,0.28590084666334986,0.7707550051314804,734.0708821086791,1978.9686288434305,2567.571557327539,3.103320507750713,0.1863889308774268
DB01485,300.27200000000005,304.42999999999944,3.764900000000003,57.53,2,3,4,0,0.8421052631578947,3,22,50,84.28860000000005,1573.5645231220842,19,0.521001313720012,0.9802470488814282,0.0012386010694214876,0.19777695305381493,0.8971654304792758,724.3376843670208,3285.7758215674207,3662.396822191558,3.549850138876954,0.2804699933227047
DB01486,154.48800000000003,151.2090000000001,1.0671999999999997,46.25,2,2,5,1,0.3333333333333333,2,11,24,45.05120000000002,616.3051443462051,9,0.38427319287613826,0.9604976392968022,0.0036731033718042927,0.2782881328861691,0.852677292891241,232.14083748271722,711.2815728841541,834.1744043310393,2.424447662279926,0.2930491559930363
DB01487,299.8960000000001,293.40699999999947,2.6417000000000006,58.56,2,3,13,1,0.5882352941176471,4,21,48,84.58350000000006,1363.6996263607416,17,0.6400056357505219,0.9898500722499609,0.0014629296950570952,0.14211556729207042,0.9891363160246508,676.1338698412619,4705.948671898893,4757.634105289097,4.156833947660546,0.3006070273838035
DB01488,191.50400000000005,188.27400000000011,2.2720000000000002,19.03,1,1,5,2,0.3333333333333333,2,14,30,60.556700000000035,983.025190133221,12,0.4836555204826534,0.9760033984637314,0.0023980182974905552,0.21775528968832622,0.8591603347295322,358.2793073883608,1413.6022601473046,1645.329984411249,3.0124910152540165,0.1961194235184133
DB01489,322.19200000000006,371.82399999999984,3.1781000000000015,62.21000000000001,0,4,5,2,0.21052631578947367,7,26,44,100.89900000000004,1575.509812092082,19,0.1658835101754692,0.8825080729640161,0.00037374207503502354,0.47029724765656333,0.8321568919604513,2226.553946013356,3939.725823889574,4734.354617442514,3.828619258594326,0.29558399713413647
DB01490,151.02400000000003,162.19200000000006,1.0726,47.61,1,3,1,1,0.2222222222222222,3,12,22,46.75740000000002,645.8464257726462,9,0.5501398219363867,0.9831863679555751,0.004711640560429347,0.1826049448025002,0.9027177708858236,191.5930893513583,947.151166817792,1049.2218026109829,2.5971113960551815,0.16666469252541014
