PDB_File,LigVol,MolWt,MolLogP,TPSA,NumHDonors,NumHAcceptors,NumRotatableBonds,NumAromaticRings,FractionCSP3,NumHeteroatoms,HeavyAtomCount,NumAtoms,MolMR,BertzCT,NumCarbons,Asphericity,Eccentricity,InertialShapeFactor,NPR1,NPR2,PMI1,PMI2,PMI3,RadiusOfGyration,SpherocityIndex
DB00130,134.56800000000004,146.14600000000007,-3.387699999999999,110.86,2,3,5,0,0.6,5,10,20,30.1115,419.60635103920174,5,0.41530333449912765,0.9659796603163424,0.003871424108526587,0.2586180501340224,0.8760071726191643,226.2751762819809,766.4533751838247,874.9396113872152,2.5277923394289687,0.22768699343421633
DB00131,269.0880000000001,347.2239999999999,-1.862999999999999,186.07000000000002,5,12,9,2,0.5,13,23,37,73.6551,1251.2956381786014,10,0.4142956718827354,0.9655455927657187,0.0006170355766614526,0.2602339491509452,0.7963927966457237,1290.6756543191652,3949.8489619030397,4959.674395021098,3.8325202377219276,0.10517604735233024
DB00132,307.5040000000001,278.4359999999996,5.660500000000005,37.3,1,2,14,0,0.6111111111111112,2,20,50,86.89980000000006,1406.7368029575903,18,0.25547433491038113,0.9183798638472344,0.00043752502538463517,0.39569991872621774,0.676784129190039,1546.8466714448332,2645.64440875873,3909.14073579855,3.814244778502453,0.17210887417984502
DB00134,138.18400000000003,149.2150000000001,0.15139999999999992,63.31999999999999,2,4,6,0,0.8,4,9,20,38.6102,370.31520980012084,5,0.3263947653314628,0.9476940170863148,0.0037369296070170095,0.31918027817959504,0.8519999419733048,227.99464575770014,608.5946978418388,714.3130742852885,2.2796648192480484,0.4166204913916642
DB00135,166.17600000000004,181.1910000000001,0.34659999999999985,83.55,3,4,5,1,0.2222222222222222,4,13,24,47.42200000000002,637.6249148455975,9,0.4974572849350005,0.9776527559792916,0.0030587622931439232,0.2102262798179515,0.8794469339828807,287.51725361402583,1202.7809623849016,1367.6560982908777,2.8083053820708033,0.2088398163672134
DB00136,437.7360000000001,416.64599999999933,5.704700000000009,60.69,3,3,13,0,0.7777777777777778,3,30,74,124.03840000000007,2342.220008693235,27,0.6875586487001066,0.9928834081237943,0.0007178026856343629,0.11909046087944626,0.9670435639107211,1347.2275644331003,10939.816133779024,11312.640445626299,5.321750247379207,0.1828183996052401
DB00137,611.9920000000002,568.8860000000026,10.403299999999994,40.46,2,2,22,0,0.45,2,42,98,184.10159999999948,3508.562872383517,40,0.8868638447679569,0.999220085074492,0.00047081813992916306,0.03948697992661651,0.9929712961892103,2109.033641606519,53035.45302032726,53410.86215066319,9.767827754857189,0.0715429419469636
DB00138,197.93600000000004,240.3060000000001,-4.911399999999999,135.54,2,6,9,0,0.6666666666666666,8,14,26,48.282199999999996,531.0481766275062,6,0.5832516415667156,0.9854188566477583,0.002371698905940676,0.17014604598116584,0.9896529484792147,417.2759644996729,2427.0819002301205,2452.457605426005,3.3197862098906348,0.22469780837898273
DB00139,101.96000000000002,118.08799999999997,-0.06420000000000015,74.6,2,4,3,0,0.5,4,8,14,24.505599999999994,224.21605924781636,4,0.6246087632975033,0.9892304399005495,0.009374282697561794,0.1463664468864549,0.8638180205468405,92.14763928247176,543.8322310631653,629.5680549925225,2.314842336589044,0.12220742805748397
DB00140,323.68000000000006,376.3689999999998,-1.7235599999999993,161.55999999999997,5,9,11,1,0.4117647058823529,10,27,47,95.62090000000002,1810.0619646121065,17,0.2086942872761562,0.8911369092081183,0.00025491071916825236,0.45373451383711366,0.6468333718960134,2537.4898866809704,3617.3865762900896,5592.455079562021,3.950460216628852,0.19077690071258574
DB00141,199.36800000000005,221.20900000000012,-3.2349999999999977,127.09,5,6,11,0,0.75,7,15,30,48.77490000000003,663.5333774131865,8,0.15406252560447248,0.872119634149647,0.0011945593560936001,0.48929269740175557,0.9009696807124478,754.227637259284,1388.8133567790355,1541.4651419577428,2.8858466396030553,0.4713661223946862
DB00142,131.24800000000002,147.13000000000008,-2.7883999999999984,105.07000000000001,2,4,5,0,0.6,5,10,19,28.552899999999998,392.56143132022595,5,0.25231333476885043,0.9246585665632204,0.003340268199254131,0.3807972364411938,0.8664504031880962,259.39545913755404,590.2177816608275,681.1904980240378,2.2808364342963436,0.4704821642694808
DB00143,263.49600000000004,307.3279999999997,-2.206099999999997,158.82000000000002,6,8,11,0,0.6,10,20,37,71.27440000000003,924.2481629793443,10,0.6350165075199781,0.9896064685762538,0.001322097973114938,0.14380207700876999,0.9779678219031791,739.7090395646181,5030.606325811162,5143.938494848762,4.2138683462596935,0.21513813495403816
DB00145,69.12000000000002,75.06699999999998,-0.9702999999999999,63.31999999999999,2,3,2,0,0.5,3,5,10,16.6902,135.60964047443682,2,0.3713507578013161,0.9562298408222777,0.01512696272333637,0.2926166289208484,0.7427182296160959,49.09896607798896,124.62277791905258,167.79280883339692,1.508221333883311,0.28293569713782035
DB00146,429.5920000000001,400.6469999999993,6.73390000000001,40.46,2,2,12,0,0.7777777777777778,2,29,73,122.64860000000009,2315.7763737553855,27,0.6267629680793029,0.9892653178749442,0.0006211446563140882,0.14613052675531382,0.9452954179226755,1521.8603401212827,9844.675429410781,10414.390298267657,5.213654226335976,0.18878273739474735
DB00148,121.72000000000003,131.135,-3.1552299999999986,94.85999999999999,2,3,3,0,0.5,5,9,18,28.2518,357.804698688311,4,0.2813784832114428,0.9346000455891165,0.004088736910752448,0.35570037220225303,0.7906539992584439,193.37365463138596,429.8327056531486,543.6419800017322,2.109273509122999,0.30899997891159753
DB00150,186.92000000000004,204.22900000000007,1.1222999999999999,79.11,3,3,4,2,0.18181818181818182,4,15,27,57.613900000000015,941.7955186031382,11,0.29758409616827575,0.9398740345491409,0.001732341268497195,0.34152130121021823,0.8154905784215821,470.74476216168404,1124.0526345613373,1378.3759914639243,2.6979656450205733,0.2565214940546875
DB00151,104.55200000000002,121.16099999999996,-2.7233999999999994,67.77,2,3,4,0,0.6666666666666666,4,7,14,25.5361,241.57963143664907,3,0.19651354533998763,0.8999972410166279,0.0046961663713263845,0.43589559089586777,0.7964205479058637,169.58950874666795,309.8553238345865,389.05993152654213,1.8931702890867934,0.5482480702181581
DB00152,239.36000000000007,265.36199999999985,0.60774,75.91,2,5,8,2,0.4166666666666667,6,18,35,70.32420000000002,1107.9422410284192,12,0.6014431759848782,0.9871715472751385,0.0019164304667471524,0.1596631962927253,0.9707140426736909,506.5219216230315,3079.53212548797,3172.4400699982107,3.5685403055804126,0.25542990414591166
DB00153,431.5600000000001,396.6589999999993,7.64100000000001,20.23,1,1,11,0,0.7142857142857143,1,29,73,125.64180000000007,2376.373719440073,28,0.6869469570284762,0.992994822059547,0.000703313174525012,0.1181578747393872,0.9149643822161458,1300.9345130411843,10073.884162640645,11010.138053943228,5.311956078541198,0.09138147668031016
DB00156,111.22400000000003,119.11999999999995,-3.272399999999999,88.0,2,3,5,0,0.75,4,8,17,23.3639,312.3432770214439,4,0.240419568205855,0.9202896106191057,0.00506201094315561,0.39123782100729326,0.8048719128661306,159.00240475663236,327.10684600300885,406.40857355574605,1.9355353557813488,0.4120925693744346
DB00157,522.6560000000002,665.446000000001,-2.6863999999999955,317.61999999999995,8,20,18,2,0.5238095238095238,23,44,73,141.84660000000002,2739.0552072800356,21,0.10811068030086994,0.8266970255222779,0.0001733076827805741,0.5626473389189878,0.9434763091829915,5443.9381684973105,9128.678544010303,9675.577918766538,4.268431314749936,0.7483138725463252
DB00158,370.3760000000001,441.404,-0.04479999999999701,213.28,6,11,10,3,0.21052631578947367,13,32,51,111.89460000000004,1986.5683801936177,19,0.7543785032658432,0.9958993633745509,0.0006543514860135743,0.09046799450725325,0.9674577417658758,1478.4985782790845,15810.9495356533,16342.780519585258,6.172266840861316,0.11457379041454312
DB00159,328.85600000000005,302.4579999999994,5.992700000000006,37.3,1,2,14,0,0.45,2,22,52,95.94580000000005,1566.3194014426033,20,0.06551953115520344,0.7727129256330291,0.00042986077773855586,0.6347556494901364,0.8492433354988074,1975.6241543286899,2643.1992340072566,3112.416810965917,3.5750082417409197,0.7189785160614273
DB00161,118.87200000000003,117.14799999999994,-1.9971999999999985,67.77,1,2,5,0,0.8,3,8,19,26.521099999999993,352.7525095668467,5,0.21472894693631406,0.9091342893617279,0.004730626837451942,0.4165031139220283,0.800640921900654,169.2462646941527,325.34086988443477,406.35053865608444,1.9609428498887276,0.5469598188275712
